mediaID,type,name,description,subject,category,collection,mode,section,year,round,matchNumber,filename,url,thumbUrl,sha256,width,height,sizeKB,knowledge,competition_matchNumber,competition_round,competition_section,competition_year,durationSeconds,github_baseRemotePath,github_fullRelativePath,github_fullUrl,github_localRelativePath,github_localThumbnailRelativePath,github_relativePath,github_thumbnailRelativePath,github_thumbnailUrl,github_url,id,media_type,originalName,source_app,source_capturedAt,source_sourceID,source_sourceJson,source_videoTimestamp
2026-alt-tv-al-pacino,image,Al Pacino,American Actor,Theatre and Cinema,World-Current-Actor,,competition,alternate,2026,1,4,al-pacino.webp,https://media.learnwithcole.com/images/2026/alternate/tv/full/al-pacino.webp,https://media.learnwithcole.com/images/2026/alternate/tv/thumbs/al-pacino.webp,073fc20b4e42672ac61d876b7a5244912b7dc3e5da3f8b06fe56280eecc05ea0,1114,548,17.84,-1,4,1,alternate,2026,,images/2026/alternate/tv,images/2026/alternate/tv/full/al-pacino.webp,https://media.learnwithcole.com/images/2026/alternate/tv/full/al-pacino.webp,../github-ready/images/2026/alternate/tv/full/al-pacino.webp,../github-ready/images/2026/alternate/tv/thumbs/al-pacino.webp,images/2026/alternate/tv/full/al-pacino.webp,images/2026/alternate/tv/thumbs/al-pacino.webp,https://media.learnwithcole.com/images/2026/alternate/tv/thumbs/al-pacino.webp,https://media.learnwithcole.com/images/2026/alternate/tv/full/al-pacino.webp,img-1768524401446-cop4w19,image,al-pacino.jpg,scq-capture-studio,2026-01-16T00:46:41.446Z,img-1768524401446-cop4w19,004.zip,4:48
2026-alt-lia-alexander-williams,image,Alexander Williams,Jamaican High Commissioner to UK,Local and International Affairs,Local-Current-Ambassador,,competition,alternate,2026,1,7,alexander-williams.webp,https://media.learnwithcole.com/images/2026/alternate/lia/full/alexander-williams.webp,https://media.learnwithcole.com/images/2026/alternate/lia/thumbs/alexander-williams.webp,fb05ceb1c8891020cde41d185f81f0522696e60fec1cf498d28d9dd52c539c12,1200,675,29.54,-1,7,1,alternate,2026,,images/2026/alternate/lia,images/2026/alternate/lia/full/alexander-williams.webp,https://media.learnwithcole.com/images/2026/alternate/lia/full/alexander-williams.webp,../github-ready/images/2026/alternate/lia/full/alexander-williams.webp,../github-ready/images/2026/alternate/lia/thumbs/alexander-williams.webp,images/2026/alternate/lia/full/alexander-williams.webp,images/2026/alternate/lia/thumbs/alexander-williams.webp,https://media.learnwithcole.com/images/2026/alternate/lia/thumbs/alexander-williams.webp,https://media.learnwithcole.com/images/2026/alternate/lia/full/alexander-williams.webp,img-1769015772985-347det5,image,alexander-williams.jpg,scq-capture-studio,2026-01-21T17:16:12.985Z,img-1769015772985-347det5,007.zip,2:43
2026-alt-lia-andrew-morris,image,Andrew Morris,MP - St. Elizabeth North West,Local and International Affairs,Local-Current-MP,,competition,alternate,2026,1,1,andrew-morris.webp,https://media.learnwithcole.com/images/2026/alternate/lia/full/andrew-morris.webp,https://media.learnwithcole.com/images/2026/alternate/lia/thumbs/andrew-morris.webp,d0e915df4e4a229e6b4cc4dbf17c8ec3f1d0eb1ded785e62cee75daa1e375871,1200,675,23.76,-1,1,1,alternate,2026,,images/2026/alternate/lia,images/2026/alternate/lia/full/andrew-morris.webp,https://media.learnwithcole.com/images/2026/alternate/lia/full/andrew-morris.webp,../github-ready/images/2026/alternate/lia/full/andrew-morris.webp,../github-ready/images/2026/alternate/lia/thumbs/andrew-morris.webp,images/2026/alternate/lia/full/andrew-morris.webp,images/2026/alternate/lia/thumbs/andrew-morris.webp,https://media.learnwithcole.com/images/2026/alternate/lia/thumbs/andrew-morris.webp,https://media.learnwithcole.com/images/2026/alternate/lia/full/andrew-morris.webp,img-1768453552985-nfurr7n,image,andrew-morris.jpg,scq-capture-studio,2026-01-15T05:05:52.985Z,img-1768453552985-nfurr7n,001.zip,2:33
2026-bz-lia-anutin-charnvirakul,image,Anutin Charnvirakul,PM - Thailand,Local and International Affairs,World-Current-Leader,,competition,buzzer,2026,1,2,anutin-charnvirakul.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/full/anutin-charnvirakul.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/thumbs/anutin-charnvirakul.webp,0e1cdbcc7d3845e73d2e67c421154a3263f7974cf0e2fc0ff262f89d9f30396b,1200,675,34.2,-1,2,1,buzzer,2026,,images/2026/buzzer/lia,images/2026/buzzer/lia/full/anutin-charnvirakul.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/full/anutin-charnvirakul.webp,../github-ready/images/2026/buzzer/lia/full/anutin-charnvirakul.webp,../github-ready/images/2026/buzzer/lia/thumbs/anutin-charnvirakul.webp,images/2026/buzzer/lia/full/anutin-charnvirakul.webp,images/2026/buzzer/lia/thumbs/anutin-charnvirakul.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/thumbs/anutin-charnvirakul.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/full/anutin-charnvirakul.webp,img-1768457559487-6qifcnm,image,anutin-charnvirakul.jpg,scq-capture-studio,2026-01-15T06:12:39.487Z,img-1768457559487-6qifcnm,002.zip,17:07
2026-alt-sport-ato-boldon,image,Ato Boldon,Trinidad and Tobago Former Sprinter,Sports,Athletics-World-Former-Athlete,,competition,alternate,2026,1,4,ato-boldon.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/ato-boldon.webp,https://media.learnwithcole.com/images/2026/alternate/sport/thumbs/ato-boldon.webp,733d185477d4bd850e1d3fa70be973891c8b36c8aa8b419379686e7bf257393d,1114,548,19.79,-1,4,1,alternate,2026,,images/2026/alternate/sport,images/2026/alternate/sport/full/ato-boldon.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/ato-boldon.webp,../github-ready/images/2026/alternate/sport/full/ato-boldon.webp,../github-ready/images/2026/alternate/sport/thumbs/ato-boldon.webp,images/2026/alternate/sport/full/ato-boldon.webp,images/2026/alternate/sport/thumbs/ato-boldon.webp,https://media.learnwithcole.com/images/2026/alternate/sport/thumbs/ato-boldon.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/ato-boldon.webp,img-1768524866946-n76yvg3,image,ato-boldon.jpg,scq-capture-studio,2026-01-16T00:54:26.946Z,img-1768524866946-n76yvg3,004.zip,5:59
2026-alt-lia-aubyn-hill,image,Aubyn Hill,Government Senator and Minister,Local and International Affairs,Local-Current-Government,,competition,alternate,2026,1,2,aubyn-hill.webp,https://media.learnwithcole.com/images/2026/alternate/lia/full/aubyn-hill.webp,https://media.learnwithcole.com/images/2026/alternate/lia/thumbs/aubyn-hill.webp,a17775426f275d273ccddaa998f8feca80cb4643f5ea7e9f127df5f957108958,1200,675,24.46,-1,2,1,alternate,2026,,images/2026/alternate/lia,images/2026/alternate/lia/full/aubyn-hill.webp,https://media.learnwithcole.com/images/2026/alternate/lia/full/aubyn-hill.webp,../github-ready/images/2026/alternate/lia/full/aubyn-hill.webp,../github-ready/images/2026/alternate/lia/thumbs/aubyn-hill.webp,images/2026/alternate/lia/full/aubyn-hill.webp,images/2026/alternate/lia/thumbs/aubyn-hill.webp,https://media.learnwithcole.com/images/2026/alternate/lia/thumbs/aubyn-hill.webp,https://media.learnwithcole.com/images/2026/alternate/lia/full/aubyn-hill.webp,img-1768455216145-1gca882,image,aubyn-hill.jpg,scq-capture-studio,2026-01-15T05:33:36.145Z,img-1768455216145-1gca882,002.zip,2:10
2026-alt-sport-augustine-logie,image,Augustine Logie,Trinidadian Former Cricketer,Sports,Cricket-World-Former-Player,,competition,alternate,2026,1,7,augustine-logie.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/augustine-logie.webp,https://media.learnwithcole.com/images/2026/alternate/sport/thumbs/augustine-logie.webp,cf1c089703e87619dc20861300b0ac7ce050395c64ff02e7d72f850e5d4a47fb,1200,675,35.47,1,7,1,alternate,2026,,images/2026/alternate/sport,images/2026/alternate/sport/full/augustine-logie.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/augustine-logie.webp,../github-ready/images/2026/alternate/sport/full/augustine-logie.webp,../github-ready/images/2026/alternate/sport/thumbs/augustine-logie.webp,images/2026/alternate/sport/full/augustine-logie.webp,images/2026/alternate/sport/thumbs/augustine-logie.webp,https://media.learnwithcole.com/images/2026/alternate/sport/thumbs/augustine-logie.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/augustine-logie.webp,img-1769016351370-3eozet9,image,augustine-logie.jpg,scq-capture-studio,2026-01-21T17:25:51.370Z,img-1769016351370-3eozet9,007.zip,5:49
2026-bz-lia-bart-de-wever,image,Bart De Wever,PM - Belgium,Local and International Affairs,World-Current-PM,,competition,buzzer,2026,1,6,bart-de-wever.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/full/bart-de-wever.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/thumbs/bart-de-wever.webp,1c8affdf2f11903234422e20ddc904d8b06d835662b1dbc554f1f5273271bf0e,1200,675,31.65,-1,6,1,buzzer,2026,,images/2026/buzzer/lia,images/2026/buzzer/lia/full/bart-de-wever.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/full/bart-de-wever.webp,../github-ready/images/2026/buzzer/lia/full/bart-de-wever.webp,../github-ready/images/2026/buzzer/lia/thumbs/bart-de-wever.webp,images/2026/buzzer/lia/full/bart-de-wever.webp,images/2026/buzzer/lia/thumbs/bart-de-wever.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/thumbs/bart-de-wever.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/full/bart-de-wever.webp,img-1768655982835-69mq7ve,image,bart-de-wever.jpg,scq-capture-studio,2026-01-17T13:19:42.835Z,img-1768655982835-69mq7ve,006.zip,16:23
2026-bz-sport-ben-johnson,image,Ben Johnson,Canadian Former Athlete,Sports,Athletics-World-Former-Athlete,,competition,buzzer,2026,1,3,ben-johnson.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/full/ben-johnson.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/thumbs/ben-johnson.webp,04dd5d3d2faee7bbdf51a84ef0f81e5d12a1535777473370b19e82d321777503,1200,675,30.74,-1,3,1,buzzer,2026,,images/2026/buzzer/sport,images/2026/buzzer/sport/full/ben-johnson.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/full/ben-johnson.webp,../github-ready/images/2026/buzzer/sport/full/ben-johnson.webp,../github-ready/images/2026/buzzer/sport/thumbs/ben-johnson.webp,images/2026/buzzer/sport/full/ben-johnson.webp,images/2026/buzzer/sport/thumbs/ben-johnson.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/thumbs/ben-johnson.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/full/ben-johnson.webp,img-1768459814329-okv5rrh,image,ben-johnson.jpg,scq-capture-studio,2026-01-15T06:50:14.329Z,img-1768459814329-okv5rrh,003.zip,19:35
2026-alt-tv-ben-kingsley,image,Ben Kingsley,English Actor,Theatre and Cinema,World-Current-Actor,,competition,alternate,2026,1,2,ben-kingsley.webp,https://media.learnwithcole.com/images/2026/alternate/tv/full/ben-kingsley.webp,https://media.learnwithcole.com/images/2026/alternate/tv/thumbs/ben-kingsley.webp,2bf7bd4bec76074400c3e4d7ba9c57530d667bb3770f06531692b4fedd903f1c,1200,675,30.91,-1,2,1,alternate,2026,,images/2026/alternate/tv,images/2026/alternate/tv/full/ben-kingsley.webp,https://media.learnwithcole.com/images/2026/alternate/tv/full/ben-kingsley.webp,../github-ready/images/2026/alternate/tv/full/ben-kingsley.webp,../github-ready/images/2026/alternate/tv/thumbs/ben-kingsley.webp,images/2026/alternate/tv/full/ben-kingsley.webp,images/2026/alternate/tv/thumbs/ben-kingsley.webp,https://media.learnwithcole.com/images/2026/alternate/tv/thumbs/ben-kingsley.webp,https://media.learnwithcole.com/images/2026/alternate/tv/full/ben-kingsley.webp,img-1768455462933-xmi0wsb,image,ben-kingsley.jpg,scq-capture-studio,2026-01-15T05:37:42.933Z,img-1768455462933-xmi0wsb,002.zip,4:18
2026-alt-sport-ben-stokes,image,Ben Stokes,English Cricketer,Sports,Cricket-World-Current-Cricketer,,competition,alternate,2026,1,5,ben-stokes.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/ben-stokes.webp,https://media.learnwithcole.com/images/2026/alternate/sport/thumbs/ben-stokes.webp,7bccbb3bfac1eeb856c38ffd25f2e19f47e63dde46c07bb04aaa7d1953db92ce,1200,675,31.26,-1,5,1,alternate,2026,,images/2026/alternate/sport,images/2026/alternate/sport/full/ben-stokes.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/ben-stokes.webp,../github-ready/images/2026/alternate/sport/full/ben-stokes.webp,../github-ready/images/2026/alternate/sport/thumbs/ben-stokes.webp,images/2026/alternate/sport/full/ben-stokes.webp,images/2026/alternate/sport/thumbs/ben-stokes.webp,https://media.learnwithcole.com/images/2026/alternate/sport/thumbs/ben-stokes.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/ben-stokes.webp,img-1768654026770-j3iy23c,image,ben-stokes.jpg,scq-capture-studio,2026-01-17T12:47:06.771Z,img-1768654026770-j3iy23c,005.zip,5:52
2026-bz-lia-bernardo-arevalo,image,Bernardo Arévalo,President - Guatemala,Local and International Affairs,World-Current-President,,competition,buzzer,2026,1,7,bernardo-arevalo.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/full/bernardo-arevalo.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/thumbs/bernardo-arevalo.webp,7f7fc8f8038e384f56e9b89cebd7d671d8d02deaee887bc3a4175f2edc706e83,1200,675,37.65,-1,7,1,buzzer,2026,,images/2026/buzzer/lia,images/2026/buzzer/lia/full/bernardo-arevalo.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/full/bernardo-arevalo.webp,../github-ready/images/2026/buzzer/lia/full/bernardo-arevalo.webp,../github-ready/images/2026/buzzer/lia/thumbs/bernardo-arevalo.webp,images/2026/buzzer/lia/full/bernardo-arevalo.webp,images/2026/buzzer/lia/thumbs/bernardo-arevalo.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/thumbs/bernardo-arevalo.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/full/bernardo-arevalo.webp,img-1769016545814-4doiun6,image,bernardo-arevalo.jpg,scq-capture-studio,2026-01-21T17:29:05.814Z,img-1769016545814-4doiun6,007.zip,17:24
2026-alt-tv-brad-pitt,image,Brad Pitt,American Actor,Theatre and Cinema,World-Current-Actor,,competition,alternate,2026,1,1,brad-pitt.webp,https://media.learnwithcole.com/images/2026/alternate/tv/full/brad-pitt.webp,https://media.learnwithcole.com/images/2026/alternate/tv/thumbs/brad-pitt.webp,717b0365e3d209f5f099bc9f475442dcae91c20ca6bd7603832e0d2f4fd1f32b,1200,675,29.3,-1,1,1,alternate,2026,,images/2026/alternate/tv,images/2026/alternate/tv/full/brad-pitt.webp,https://media.learnwithcole.com/images/2026/alternate/tv/full/brad-pitt.webp,../github-ready/images/2026/alternate/tv/full/brad-pitt.webp,../github-ready/images/2026/alternate/tv/thumbs/brad-pitt.webp,images/2026/alternate/tv/full/brad-pitt.webp,images/2026/alternate/tv/thumbs/brad-pitt.webp,https://media.learnwithcole.com/images/2026/alternate/tv/thumbs/brad-pitt.webp,https://media.learnwithcole.com/images/2026/alternate/tv/full/brad-pitt.webp,img-1768453737555-ge7trbr,image,brad-pitt.jpg,scq-capture-studio,2026-01-15T05:08:57.555Z,img-1768453737555-ge7trbr,001.zip,5:07
2026-alt-sport-cameron-green,image,Cameron Green,Australian Cricketer,Sports,Cricket-World-Current-Player,,competition,alternate,2026,1,6,cameron-green.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/cameron-green.webp,https://media.learnwithcole.com/images/2026/alternate/sport/thumbs/cameron-green.webp,813b5be4df19e58d2afcab6e7c81fe03bd76fd0ff981aa89d027dfdc3a3bc452,1200,675,32.75,-1,6,1,alternate,2026,,images/2026/alternate/sport,images/2026/alternate/sport/full/cameron-green.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/cameron-green.webp,../github-ready/images/2026/alternate/sport/full/cameron-green.webp,../github-ready/images/2026/alternate/sport/thumbs/cameron-green.webp,images/2026/alternate/sport/full/cameron-green.webp,images/2026/alternate/sport/thumbs/cameron-green.webp,https://media.learnwithcole.com/images/2026/alternate/sport/thumbs/cameron-green.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/cameron-green.webp,img-1768655784733-y9mtp8k,image,cameron-green.jpg,scq-capture-studio,2026-01-17T13:16:24.733Z,img-1768655784733-y9mtp8k,006.zip,4:34
2026-alt-sport-carl-lewis,image,Carl Lewis,American Former Athlete,Sports,Athletics-World-Former-Athlete,,competition,alternate,2026,1,3,carl-lewis.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/carl-lewis.webp,https://media.learnwithcole.com/images/2026/alternate/sport/thumbs/carl-lewis.webp,5de7ddf363289317f5455f0fc33e3ce4c5d5defc05bcab8e7e877ec7d832014b,1200,675,44.13,-1,3,1,alternate,2026,,images/2026/alternate/sport,images/2026/alternate/sport/full/carl-lewis.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/carl-lewis.webp,../github-ready/images/2026/alternate/sport/full/carl-lewis.webp,../github-ready/images/2026/alternate/sport/thumbs/carl-lewis.webp,images/2026/alternate/sport/full/carl-lewis.webp,images/2026/alternate/sport/thumbs/carl-lewis.webp,https://media.learnwithcole.com/images/2026/alternate/sport/thumbs/carl-lewis.webp,https://media.learnwithcole.com/images/2026/alternate/sport/full/carl-lewis.webp,img-1768459188853-udxm41u,image,carl-lewis.jpg,scq-capture-studio,2026-01-15T06:39:48.853Z,img-1768459188853-udxm41u,003.zip,5:51
2026-bz-sport-carmelita-jeter,image,Carmelita Jeter,American Former Sprinter,Sports,Athletics-World-Current-Athlete,,competition,buzzer,2026,1,4,carmelita-jeter.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/full/carmelita-jeter.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/thumbs/carmelita-jeter.webp,c4884aec369ef729a6ac8f48ba59b08ddc7bc49faa11c196f2f82ce9803027dd,1114,548,28.42,-1,4,1,buzzer,2026,,images/2026/buzzer/sport,images/2026/buzzer/sport/full/carmelita-jeter.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/full/carmelita-jeter.webp,../github-ready/images/2026/buzzer/sport/full/carmelita-jeter.webp,../github-ready/images/2026/buzzer/sport/thumbs/carmelita-jeter.webp,images/2026/buzzer/sport/full/carmelita-jeter.webp,images/2026/buzzer/sport/thumbs/carmelita-jeter.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/thumbs/carmelita-jeter.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/full/carmelita-jeter.webp,img-1768525340396-qqsnc5t,image,carmelita-jeter.jpg,scq-capture-studio,2026-01-16T01:02:20.396Z,img-1768525340396-qqsnc5t,004.zip,20:23
2026-alt-tv-christopher-meloni,image,Christopher Meloni,American Actor,Theatre and Cinema,World-Current-Actor,,competition,alternate,2026,1,3,christopher-meloni.webp,https://media.learnwithcole.com/images/2026/alternate/tv/full/christopher-meloni.webp,https://media.learnwithcole.com/images/2026/alternate/tv/thumbs/christopher-meloni.webp,d69e9ee274daef5451296c149ce528ac55580a56782c32946bf2b6179b76256d,1200,675,32.28,-1,3,1,alternate,2026,,images/2026/alternate/tv,images/2026/alternate/tv/full/christopher-meloni.webp,https://media.learnwithcole.com/images/2026/alternate/tv/full/christopher-meloni.webp,../github-ready/images/2026/alternate/tv/full/christopher-meloni.webp,../github-ready/images/2026/alternate/tv/thumbs/christopher-meloni.webp,images/2026/alternate/tv/full/christopher-meloni.webp,images/2026/alternate/tv/thumbs/christopher-meloni.webp,https://media.learnwithcole.com/images/2026/alternate/tv/thumbs/christopher-meloni.webp,https://media.learnwithcole.com/images/2026/alternate/tv/full/christopher-meloni.webp,img-1768459099266-ogvydrb,image,christopher-meloni.jpg,scq-capture-studio,2026-01-15T06:38:19.266Z,img-1768459099266-ogvydrb,003.zip,5:22
2026-bz-lia-cyril-ramaphosa,image,Cyril Ramaphosa,President of South Africa,Local and International Affairs,World-Current-President,,competition,buzzer,2026,1,4,cyril-ramaphosa.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/full/cyril-ramaphosa.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/thumbs/cyril-ramaphosa.webp,24544f1326a430f4757bc93bf2e5958a544be229e63e1e0058c947a7f2eeb066,1114,548,20.98,-1,4,1,buzzer,2026,,images/2026/buzzer/lia,images/2026/buzzer/lia/full/cyril-ramaphosa.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/full/cyril-ramaphosa.webp,../github-ready/images/2026/buzzer/lia/full/cyril-ramaphosa.webp,../github-ready/images/2026/buzzer/lia/thumbs/cyril-ramaphosa.webp,images/2026/buzzer/lia/full/cyril-ramaphosa.webp,images/2026/buzzer/lia/thumbs/cyril-ramaphosa.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/thumbs/cyril-ramaphosa.webp,https://media.learnwithcole.com/images/2026/buzzer/lia/full/cyril-ramaphosa.webp,img-1768524978850-uc1m73z,image,cyril-ramaphosa.jpg,scq-capture-studio,2026-01-16T00:56:18.850Z,img-1768524978850-uc1m73z,004.zip,18:07
2026-alt-lia-diahann-gordon-harrison,image,Diahann Gordon-Harrison,Children's Advocate,Local and International Affairs,Local-Current-Private,,competition,alternate,2026,1,6,diahann-gordon-harrison.webp,https://media.learnwithcole.com/images/2026/alternate/lia/full/diahann-gordon-harrison.webp,https://media.learnwithcole.com/images/2026/alternate/lia/thumbs/diahann-gordon-harrison.webp,b6361494a84f012afa2dddc06375d0729fc5156be1e34b7a66c4fe9ef458fde5,1200,675,28.81,-1,6,1,alternate,2026,,images/2026/alternate/lia,images/2026/alternate/lia/full/diahann-gordon-harrison.webp,https://media.learnwithcole.com/images/2026/alternate/lia/full/diahann-gordon-harrison.webp,../github-ready/images/2026/alternate/lia/full/diahann-gordon-harrison.webp,../github-ready/images/2026/alternate/lia/thumbs/diahann-gordon-harrison.webp,images/2026/alternate/lia/full/diahann-gordon-harrison.webp,images/2026/alternate/lia/thumbs/diahann-gordon-harrison.webp,https://media.learnwithcole.com/images/2026/alternate/lia/thumbs/diahann-gordon-harrison.webp,https://media.learnwithcole.com/images/2026/alternate/lia/full/diahann-gordon-harrison.webp,img-1768654956233-e5wm4zf,image,diahann-gordon-harrison.jpg,scq-capture-studio,2026-01-17T13:02:36.233Z,img-1768654956233-e5wm4zf,006.zip,2:12
2026-bz-sport-didier-drogba,image,Didier Drogba,Ivorian Footballer,Sports,Football-World-Former-Player,,competition,buzzer,2026,1,6,didier-drogba.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/full/didier-drogba.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/thumbs/didier-drogba.webp,1b14ec1d4e650c01f81d57df373de39105b40d8751ea14af9db0fbf2d346eddd,1200,675,35.09,-1,6,1,buzzer,2026,,images/2026/buzzer/sport,images/2026/buzzer/sport/full/didier-drogba.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/full/didier-drogba.webp,../github-ready/images/2026/buzzer/sport/full/didier-drogba.webp,../github-ready/images/2026/buzzer/sport/thumbs/didier-drogba.webp,images/2026/buzzer/sport/full/didier-drogba.webp,images/2026/buzzer/sport/thumbs/didier-drogba.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/thumbs/didier-drogba.webp,https://media.learnwithcole.com/images/2026/buzzer/sport/full/didier-drogba.webp,img-1768656266783-xmuug2i,image,didier-drogba.jpg,scq-capture-studio,2026-01-17T13:24:26.783Z,img-1768656266783-xmuug2i,006.zip,18:46
